agent_code,agent_age,agent_join_month,first_policy_sold_month,year_month,unique_proposals_last_7_days,unique_proposals_last_15_days,unique_proposals_last_21_days,unique_proposal,unique_quotations_last_7_days,unique_quotations_last_15_days,unique_quotations_last_21_days,unique_quotations,unique_customers_last_7_days,unique_customers_last_15_days,unique_customers_last_21_days,unique_customers,new_policy_count,ANBP_value,net_income,number_of_policy_holders,number_of_cash_payment_policies,next_month_new_policy_count
003c1999,35,2020-08-01,2022-12-01,2023-01-01,2,2,0,8,0,0,0,2,2,2,1,5,0,0,327407,5,0,31.0
003c1999,35,2020-08-01,2022-12-01,2023-02-01,3,2,20,30,0,2,6,14,2,5,12,19,31,2408297,408662,57,217,27.0
003c1999,35,2020-08-01,2022-12-01,2023-03-01,0,2,19,23,2,1,7,19,4,5,11,20,27,1901097,287226,20,243,22.0
003c1999,35,2020-08-01,2022-12-01,2023-04-01,2,6,11,21,3,5,7,19,4,9,7,20,22,1635788,381203,60,176,20.0
003c1999,35,2020-08-01,2022-12-01,2023-05-01,3,3,7,15,4,4,5,14,4,6,8,18,20,1876640,471548,0,180,0.0
003c1999,35,2020-08-01,2022-12-01,2023-06-01,0,3,4,12,2,4,8,15,2,4,13,19,0,0,44510,38,0,14.0
003c1999,35,2020-08-01,2022-12-01,2023-07-01,3,0,2,10,3,0,4,8,3,2,6,11,14,114828,26501,33,126,26.0
003c1999,35,2020-08-01,2022-12-01,2023-08-01,3,5,9,18,2,3,7,15,2,6,8,16,26,2310698,282573,32,0,35.0
003c1999,35,2020-08-01,2022-12-01,2023-09-01,2,6,14,26,1,5,6,16,1,7,8,16,35,2413530,403629,0,140,35.0
003c1999,35,2020-08-01,2022-12-01,2023-10-01,3,2,20,28,0,1,7,24,2,2,11,15,35,2186835,561881,45,0,21.0
003c1999,35,2020-08-01,2022-12-01,2023-11-01,1,0,11,13,3,4,0,11,3,6,3,12,21,257922,72716,48,63,30.0
003c1999,35,2020-08-01,2022-12-01,2023-12-01,0,5,19,29,0,0,0,16,0,1,1,2,30,601050,140149,4,270,18.0
003c1999,35,2020-08-01,2022-12-01,2024-01-01,1,0,14,17,4,2,5,14,5,4,7,16,18,569520,111539,0,126,33.0
003c1999,35,2020-08-01,2022-12-01,2024-02-01,3,6,17,27,0,3,4,20,2,3,9,14,33,2624589,617256,14,231,15.0
